,menu,submenu,subsubmenu,url
0,about,about_sebi,the_board,https://www.sebi.gov.in/sebiweb/boardmember/BoardMemberAction.do?doBoardMember=yes
1,about,about_sebi,code_on_conflict_of_interests_for_members_of_board,https://www.sebi.gov.in/conf.html
2,about,about_sebi,board_meetings,https://www.sebi.gov.in/sebiweb/about/AboutAction.do?doBoardMeeting=yes
3,about,about_sebi,powers_and_functions_of_the_board,https://www.sebi.gov.in/powers-and-functions.html
4,about,about_sebi,securities_appellate_tribunal_(sat),http://sat.gov.in/scripts/showdailyboard.asp
5,about,about_sebi,organisation_structure,https://www.sebi.gov.in/orgchart.html
6,about,about_sebi,functions_of_departments_/_divisions,https://www.sebi.gov.in/alldepartment.html
7,about,about_sebi,addresses_of_offices_of_sebi,https://www.sebi.gov.in/contact-us.html#contact-us-main
8,about,about_sebi,sebi_committees,https://www.sebi.gov.in/sebiweb/about/AboutAction.do?doCommittee=yes
9,about,about_sebi,sebi_benchmarks,https://www.sebi.gov.in/allbenchmark.html
10,about,about_sebi,former_chairmen_/_wtms_of_sebi,https://www.sebi.gov.in/sebiweb/boardmember/BoardMemberAction.do?doFormerMember=yes
11,about,about_sebi,equal_opportunity_policy_for_pwds,https://www.sebi.gov.in/equal_opportunity_policy.html
12,about,about_sebi,public_holidays,https://www.sebi.gov.in/sebiweb/holiday/HolidayAction.do?doHoliday=yes
13,about,"rti_act,_2005",,https://www.sebi.gov.in/rti-act-2005.html
14,about,careers,,https://www.sebi.gov.in/sebiweb/about/AboutAction.do?doVacancies=yes
15,about,tenders,,https://www.sebi.gov.in/sebiweb/about/AboutAction.do?doTender=yes
16,about,ncfe,,https://www.ncfe.org.in/
17,about,innovation_sandbox,,https://www.innovation-sandbox.in/
18,about,directory_of_sebi_employees,,https://www.sebi.gov.in/sebiweb/home/directory-of-sebi.jsp
19,legal,acts,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=1&ssid=1&smid=0
20,legal,rules,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=1&ssid=2&smid=0
21,legal,regulations,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=1&ssid=3&smid=0
22,legal,general_orders,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=1&ssid=4&smid=0
23,legal,guidelines,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=1&ssid=5&smid=0
24,legal,master_circulars,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=1&ssid=6&smid=0
25,legal,circulars,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=1&ssid=7&smid=0
26,legal,gazette_notification,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=1&ssid=82&smid=0
27,legal,online_portal_for_submission_of_application_for_internship_(legal),,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doLegalIntership2022=yes
28,legal,guidance_notes,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=1&ssid=85&smid=0
29,enforcement,orders,orders_of_sat,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=2&ssid=9&smid=1
30,enforcement,orders,orders_of_chairperson/members,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=2&ssid=9&smid=2
31,enforcement,orders,settlement_order,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=2&ssid=9&smid=3
32,enforcement,orders,orders_of_aa_under_the_rti_act,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=2&ssid=9&smid=4
33,enforcement,orders,orders_of_corporatisation_/_demutualisation_scheme,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=2&ssid=9&smid=5
34,enforcement,orders,orders_of_ao,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=2&ssid=9&smid=6
35,enforcement,orders,orders_of_courts,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=2&ssid=9&smid=7
36,enforcement,orders,orders_of_special_courts,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=2&ssid=9&smid=77
37,enforcement,orders,orders_of_ed_/_cgm_(quasi-judicial_authorities),https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=2&ssid=9&smid=133
38,enforcement,informal_guidance,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=2&ssid=10&smid=0
39,enforcement,clarifications_on_insider_trading,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=2&ssid=11&smid=0
40,enforcement,orders_that_could_not_be_served,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=2&ssid=12&smid=0
41,enforcement,unserved_summons_/_notices,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=2&ssid=13&smid=0
42,enforcement,recovery_proceedings,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=2&ssid=50&smid=0
43,enforcement,auction_notice_under_recovery_proceedings,,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=2&ssid=79&smid=0
44,filings,processing_status,issues,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=14&smid=8
45,filings,processing_status,takeovers,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=14&smid=9
46,filings,processing_status,scheme_of_arrangement,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=14&smid=62
47,filings,processing_status,buybacks,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=14&smid=116
48,filings,processing_status,regulatory_sandbox,https://www.sebi.gov.in/sebiweb/other/RegulatorySandbox.jsp
49,filings,public_issues,draft_offer_documents_filed_with_sebi,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=15&smid=10
50,filings,public_issues,red_herring_documents_filed_with_roc,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=15&smid=11
51,filings,public_issues,final_offer_documents_filed_with_roc,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=15&smid=12
52,filings,public_issues,other_documents,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=15&smid=78
53,filings,rights_issues,draft_letters_of_offer_filed_with_sebi,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=16&smid=13
54,filings,rights_issues,final_letters_of_offer_filed_with_stock_exchanges,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=16&smid=14
55,filings,rights_issues,other_documents,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=16&smid=79
56,filings,debt_offer_document,draft_filed_with_se,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=17&smid=38
57,filings,debt_offer_document,final_filed_with_roc,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=17&smid=39
58,filings,takeovers,letter_of_offer,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=20&smid=15
59,filings,takeovers,formats_as_per_sebi_(sast)_regulations_2011,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=20&smid=50
60,filings,takeovers,other_documents,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=20&smid=49
61,filings,mutual_funds,draft,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=3&ssid=39&smid=37
62,filings,mutual_funds,statement_of_additional_information_(sai),https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doMutualFund=yes&mftype=1
63,filings,mutual_funds,scheme_information_document_(sid),https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doMutualFund=yes&mftype=2
